Name	Symbol	result	announcement	ZERODHA CODE	Instrument Code	To Date	From Date	From Date-Time	To Date Time
Future Enterprises A	FURE	13-08-2018 13:49:13	3/8/18 17:05	FEL	134034948	13-08-2018	03-08-2018	2018-07-29+00:00:00	2018-08-18+20:00:00
Albert David	ALBD	10/8/18 14:41	31-07-2018 10:59:05	ALBERTDA	134163204	10-08-2018	31-07-2018	2018-07-26+00:00:00	2018-08-15+20:00:00
IMP Powers Ltd	IMPP	13-08-2018 17:22:34	3/8/18 17:35	INDLMETER	132498180	13-08-2018	03-08-2018	2018-07-29+00:00:00	2018-08-18+20:00:00
Dhunseri Investments Ltd	DHUS	9/8/18 14:51	31-07-2018 16:25:01	DHUNINV	136534020	09-08-2018	31-07-2018	2018-07-26+00:00:00	2018-08-14+20:00:00
Geojit Financial Services Ltd	GEOJ	24-10-2018 16:56:54	17-10-2018 17:49:22	GEOJITFSL	136264964	24-10-2018	17-10-2018	2018-10-12+00:00:00	2018-10-29+20:00:00
APM Ind	APMI	6/8/18 16:14	27-07-2018 11:39:02	APMIN	134025476	06-08-2018	27-07-2018	2018-07-22+00:00:00	2018-08-11+20:00:00
Parabolic Drugs Ltd	PARB	14-08-2018 19:42:44	6/8/18 17:36	PARABDRUGS	136502020	14-08-2018	06-08-2018	2018-08-01+00:00:00	2018-08-19+20:00:00
Ponni Sugars Erode Ltd	PONS	25-07-2018 15:19:14	3/7/18 13:40	PONNIERODE	136309764	25-07-2018	03-07-2018	2018-06-28+00:00:00	2018-07-30+20:00:00
IVRCL	IVRC	14-08-2018 17:15:45	7/8/18 12:46	IVRCLINFRA	135877892	14-08-2018	07-08-2018	2018-08-02+00:00:00	2018-08-19+20:00:00
Crompton Greaves	CGPO	25-10-2018 18:34:40	24-10-2018 12:00:16	CROMPTON	138208260	25-10-2018	24-10-2018	2018-10-19+00:00:00	2018-10-30+20:00:00
Neul Laboratories Ltd	NEUL	10/8/18 13:00	2/8/18 18:24	NEULANDLAB	134286852	10-08-2018	02-08-2018	2018-07-28+00:00:00	2018-08-15+20:00:00
Navkar Corporation Ltd	NAVR	14-08-2018 14:49:36	4/8/18 15:45	NAVKARCORP	138068996	14-08-2018	04-08-2018	2018-07-30+00:00:00	2018-08-19+20:00:00
Salasar Techno	SALA	14-08-2018 14:21:47	6/8/18 19:16	SALASAR	138404356	14-08-2018	06-08-2018	2018-08-01+00:00:00	2018-08-19+20:00:00
Themis Medicare Ltd	THEM	8/8/18 17:01	17-07-2018 17:58:40	THEMISMED	135730948	08-08-2018	17-07-2018	2018-07-12+00:00:00	2018-08-13+20:00:00
Onelife Capital Advisors Ltd	ONEL	15-08-2018 01:41:52	4/8/18 17:28	ONELIFECAP	136609796	15-08-2018	04-08-2018	2018-07-30+00:00:00	2018-08-20+20:00:00
ACC	ACC	23-07-2018 16:39:38	10/7/18 14:10	ACC	128104964	23-07-2018	10-07-2018	2018-07-05+00:00:00	2018-07-28+20:00:00
Nestle India	NEST	3/8/18 14:28	26-07-2018 17:55:29	NESTLEIND	128202244	03-08-2018	26-07-2018	2018-07-21+00:00:00	2018-08-08+20:00:00
Godrej Industries	GODI	13-08-2018 14:13:12	13-07-2018 15:42:06	GODREJIND	128041988	13-08-2018	13-07-2018	2018-07-08+00:00:00	2018-08-18+20:00:00
Vikram Thermo India	VKMT	14-08-2018 12:40:15	4/8/18 16:57	VIKRAMTH	135802116	14-08-2018	04-08-2018	2018-07-30+00:00:00	2018-08-19+20:00:00
Basant Agro Tech India	BATI	10/8/18 17:51	27-07-2018 17:48:20	BASANTGL	134319876	10-08-2018	27-07-2018	2018-07-22+00:00:00	2018-08-15+20:00:00
McLeod Russel	MCLE	9/8/18 15:46	24-07-2018 16:12:01	MCLEODRUSS*	136359428	09-08-2018	24-07-2018	2018-07-19+00:00:00	2018-08-14+20:00:00
Danlaw Tech India	DNLW	14-08-2018 12:32:23	7/8/18 15:50	DANLAW	136276228	14-08-2018	07-08-2018	2018-08-02+00:00:00	2018-08-19+20:00:00
Eicher Motors	EICH	9/8/18 15:41	31-07-2018 18:10:22	EICHERMOT	129331204	09-08-2018	31-07-2018	2018-07-26+00:00:00	2018-08-14+20:00:00
Indian Terrain Fashions Ltd	ITFL	8/8/18 15:14	24-07-2018 20:10:40	INDTERRAIN	136532228	08-08-2018	24-07-2018	2018-07-19+00:00:00	2018-08-13+20:00:00
Fervent Synergies	FERV	19-07-2018 16:07:20	10/7/18 15:49	FERVENTSYN	136677380	19-07-2018	10-07-2018	2018-07-05+00:00:00	2018-07-24+20:00:00
Raja Bahadur Intl	RAGA	14/08/2018 19:15:45	6/8/18 15:07	RAJABAH	128800516	14-08-2018	06-08-2018	2018-08-01+00:00:00	2018-08-19+20:00:00
Pricol	PRCO	8/8/18 17:39	12/7/18 14:04	PRICOLLTD	138315012	08-08-2018	12-07-2018	2018-07-07+00:00:00	2018-08-13+20:00:00
Kinetic Engineering	KNTE	10/8/18 16:12	4/8/18 13:54	KINETICENG	128061444	10-08-2018	04-08-2018	2018-07-30+00:00:00	2018-08-15+20:00:00
Paul Merchants Ltd	PAUL	13-08-2018 15:44:59	4/8/18 10:03	PML	138012932	13-08-2018	04-08-2018	2018-07-30+00:00:00	2018-08-18+20:00:00
Wanbury Ltd	WANB	10/8/18 22:05	23-07-2018 17:18:25	WANBURY	134198276	10-08-2018	23-07-2018	2018-07-18+00:00:00	2018-08-15+20:00:00
United Spirits	UNSP	23-07-2018 20:45:27	23-07-2018 20:26:38	UNITDSPR	136302596	23-07-2018	23-07-2018	2018-07-18+00:00:00	2018-07-28+20:00:00
Kalyani Steels Ltd	KLSL	24-07-2018 12:54:54	13-07-2018 16:53:38	KSL	128060164	24-07-2018	13-07-2018	2018-07-08+00:00:00	2018-07-29+20:00:00
Rodium Realty	RODR	13-08-2018 18:43:37	4/8/18 16:54	RODIUM	136146436	13-08-2018	04-08-2018	2018-07-30+00:00:00	2018-08-18+20:00:00
RACL Geartech Ltd	RACG	11/8/18 15:17	3/8/18 16:01	RACLGEAR	133138692	11-08-2018	03-08-2018	2018-07-29+00:00:00	2018-08-16+20:00:00